iter	Passed	Remaining
269	65162	176180
270	65381	175878
271	65609	175601
272	65840	175334
273	66068	175058
274	66285	174753
275	66518	174490
276	66736	174189
277	66975	173942
278	67245	173776
279	67497	173565
280	67759	173378
281	68025	173198
282	68285	173005
283	68542	172805
284	68782	172559
285	69024	172318
286	69247	172034
287	69474	171756
288	69701	171479
289	69935	171221
290	70167	170957
291	70396	170687
292	70618	170399
293	70856	170151
294	71077	169863
295	71308	169598
296	71533	169320
297	71768	169065
298	71981	168759
299	72198	168463
300	72427	168195
301	72660	167937
302	73007	167942
303	73367	167972
304	73685	167906
305	74046	167936
306	74481	168128
307	74764	167977
308	75012	167745
309	75271	167540
310	75516	167301
311	75768	167078
312	76136	167110
313	76399	166910
314	76645	166674
315	76878	166408
316	77117	166155
317	77367	165926
318	77604	165669
319	77846	165422
320	78085	165171
321	78320	164909
322	78550	164639
323	78788	164385
324	79026	164131
325	79257	163864
326	79487	163593
327	79718	163325
328	79962	163083
329	80202	162835
330	80456	162615
331	80698	162370
332	80940	162123
333	81184	161882
334	81426	161636
335	81680	161416
336	81924	161174
337	82162	160920
338	82392	160653
339	82633	160405
340	82868	160147
341	83097	159877
342	83337	159629
343	83573	159372
344	83813	159125
345	84052	158872
346	84286	158613
347	84521	158357
348	84767	158120
349	84997	157852
350	85230	157592
351	85465	157334
352	85711	157096
353	85986	156913
354	86230	156671
355	86489	156458
356	86728	156208
357	86958	155942
358	87213	155720
359	87475	155511
360	87714	155262
361	87965	155033
362	88196	154769
363	88440	154527
364	88676	154272
365	88929	154047
366	89179	153816
367	89444	153611
368	89683	153360
369	89927	153119
370	90175	152884
371	90410	152628
372	90666	152406
373	90912	152169
374	91150	151917
375	91401	151687
376	91639	151435
377	91889	151203
378	92128	150954
379	92369	150707
380	92603	150450
381	92847	150209
382	93078	149946
383	93320	149701
384	93554	149444
385	93796	149199
386	94035	148949
387	94266	148688
388	94499	148429
389	94752	148202
390	95004	147974
391	95256	147745
392	95530	147548
393	95823	147383
394	96087	147171
395	96346	146953
396	96611	146741
397	96873	146527
398	97128	146301
399	97389	146084
400	97655	145873
401	97918	145659
402	98192	145461
403	98454	145244
404	98714	145024
405	98973	144804
406	99213	144555
407	99485	144351
408	99795	144202
409	100042	143963
410	100279	143710
411	100530	143475
412	100796	143262
413	101033	143008
414	101276	142763
415	101518	142516
416	101769	142282
417	102010	142034
418	102253	141788
419	102491	141535
420	102736	141292
421	102971	141036
422	103206	140780
423	103460	140550
424	103704	140306
425	103959	140076
426	104194	139821
427	104448	139590
428	104688	139340
429	104931	139095
430	105180	138858
431	105432	138624
432	105673	138375
433	105932	138151
434	106179	137911
435	106414	137655
436	106663	137417
437	106920	137190
438	107169	136952
439	107421	136718
440	107676	136487
441	107925	136250
442	108170	136006
443	108420	135769
444	108676	135539
445	108927	135304
446	109166	135053
447	109422	134823
448	109674	134589
449	109913	134339
450	110165	134104
451	110414	133864
452	110656	133618
453	110910	133385
454	111163	133151
455	111413	132914
456	111671	132685
457	111912	132438
458	112163	132201
459	112412	131961
460	112667	131730
461	112923	131499
462	113190	131280
463	113466	131073
464	113725	130845
465	113976	130607
466	114237	130382
467	114489	130146
468	114755	129925
469	115014	129696
470	115270	129465
471	115526	129233
472	115796	129016
473	116069	128802
474	116341	128588
475	116603	128361
476	116875	128146
477	117142	127925
478	117425	127721
479	117702	127510
480	117963	127283
481	118221	127051
482	118479	126819
483	118757	126608
484	119008	126370
485	119263	126134
486	119531	125912
487	119793	125685
488	120045	125446
489	120323	125234
490	120595	125016
491	120854	124785
492	121131	124571
493	121387	124336
494	121667	124125
495	121944	123911
496	122204	123680
497	122497	123481
498	122780	123272
499	123031	123031
500	123295	122803
501	123553	122568
502	123826	122349
503	124078	122109
504	124345	121883
505	124604	121649
506	124873	121424
507	125125	121184
508	125393	120959
509	125675	120747
510	125951	120529
511	126232	120315
512	126501	120089
513	126796	119889
514	127074	119672
515	127363	119464
516	127666	119270
517	127958	119065
518	128234	118845
519	128499	118614
520	128793	118410
521	129072	118192
522	129366	117988
523	129643	117768
524	129927	117553
525	130209	117336
526	130477	117107
527	130756	116888
528	131024	116658
529	131322	116455
530	131626	116257
531	131904	116036
532	132177	115810
533	132460	115593
534	132740	115372
535	133011	115144
536	133297	114928
537	133576	114707
538	133865	114493
539	134148	114274
540	134427	114051
541	134700	113824
542	134985	113606
543	135279	113395
544	135576	113187
545	135866	112973
546	136150	112753
547	136439	112537
548	136744	112334
549	137038	112122
550	137331	111908
551	137626	111696
552	137914	111478
553	138211	111268
554	138502	111051
555	138835	110868
556	139135	110658
557	139431	110445
558	139720	110226
559	140032	110025
560	140352	109830
561	140650	109617
562	140967	109418
563	141264	109204
564	141557	108986
565	141837	108759
566	142123	108535
567	142403	108306
568	142695	108087
569	142973	107857
570	143260	107633
571	143545	107407
572	143834	107185
573	144121	106961
574	144417	106743
575	144709	106522
576	145006	106304
577	145311	106092
578	145627	105888
579	145933	105676
580	146245	105467
581	146563	105264
582	146875	105054
583	147184	104843
584	147493	104632
585	147816	104430
586	148130	104221
587	148441	104009
588	148760	103803
589	149071	103592
590	149402	103393
591	149718	103184
592	150028	102970
593	150342	102759
594	150664	102553
595	150971	102336
596	151286	102124
597	151604	101914
598	151919	101702
599	152238	101492
600	152552	101278
601	152896	101084
602	153210	100870
603	153524	100654
604	153846	100445
605	154157	100227
606	154495	100027
607	154853	99839
608	155173	99627
609	155503	99420
610	155850	99223
611	156180	99016
612	156535	98824
613	156890	98631
614	157246	98438
615	157603	98246
616	157925	98031
617	158257	97822
618	158590	97613
619	158913	97398
620	159235	97182
621	159569	96973
622	159903	96763
623	160239	96554
624	160575	96345
625	161100	96248
626	161482	96065
627	161849	95872
628	162204	95672
629	162561	95472
630	163019	95331
631	163494	95199
632	163873	95010
633	164218	94801
634	164595	94610
635	164983	94424
636	165586	94361
637	166333	94377
638	167009	94350
639	167611	94281
640	168112	94153
641	168596	94014
642	169131	93903
643	169585	93745
644	170112	93627
645	170649	93513
646	171139	93373
647	171639	93236
648	172127	93091
649	172602	92939
650	173040	92766
651	173524	92617
652	174077	92503
653	174710	92430
654	175207	92285
655	175948	92265
656	176850	92328
657	177368	92188
658	177840	92023
659	178422	91914
660	178913	91757
661	179431	91613
662	180059	91523
663	180826	91502
664	181680	91523
665	182423	91485
666	183236	91481
667	183949	91423
668	184663	91365
669	185360	91296
670	186013	91204
671	186742	91147
672	187514	91110
673	188332	91092
674	189006	91003
675	189748	90944
676	190262	90775
677	190861	90645
678	191499	90532
679	192102	90400
680	192666	90250
681	193283	90123
682	193851	89972
683	194423	89821
684	195077	89706
685	195530	89499
686	195953	89277
687	196360	89047
688	196764	88815
689	197140	88570
690	197474	88306
691	197805	88040
692	198128	87771
693	198431	87492
694	198795	87241
695	199180	86998
696	199518	86734
697	199848	86467
698	200233	86223
699	200599	85971
700	200993	85730
701	201374	85483
702	201735	85228
703	202107	84976
704	202534	84748
705	202957	84517
706	203337	84268
707	203700	84012
708	204079	83761
709	204420	83495
710	204790	83241
711	205144	82979
712	205475	82708
713	205806	82437
714	206123	82161
715	206430	81880
716	206730	81596
717	207052	81321
718	207337	81031
719	207631	80745
720	207908	80452
721	208224	80174
722	208551	79901
723	208876	79627
724	209198	79351
725	209514	79072
726	209811	78787
727	210136	78512
728	210444	78231
729	210742	77945
730	211042	77661
731	211359	77382
732	211691	77110
733	212017	76834
734	212316	76549
735	212631	76270
736	212941	75988
737	213219	75695
738	213523	75412
739	213823	75127
740	214107	74836
741	214399	74548
742	214687	74259
743	214988	73974
744	215282	73687
745	215600	73408
746	215899	73122
747	216217	72843
748	216539	72565
749	216863	72287
750	217194	72012
751	217517	71734
752	217833	71453
753	218147	71172
754	218460	70891
755	218767	70607
756	219048	70315
757	219326	70022
758	219640	69740
759	219966	69463
760	220287	69183
761	220627	68909
762	220956	68632
763	221288	68356
764	221635	68084
765	221961	67805
766	222306	67532
767	222636	67254
768	222955	66973
769	223280	66694
770	223598	66412
771	223901	66126
772	224208	65841
773	224571	65572
774	224889	65290
775	225232	65015
776	225586	64743
777	225929	64468
778	226267	64191
779	226633	63922
780	226996	63652
781	227351	63379
782	227707	63106
783	228072	62836
784	228405	62557
785	228755	62281
786	229101	62005
787	229469	61735
788	230017	61512
789	230604	61299
790	230920	61014
791	231218	60724
792	231543	60440
793	231825	60146
794	232115	59853
795	232414	59563
796	232696	59268
797	232972	58973
798	233234	58673
799	233511	58377
800	233796	58084
801	234081	57790
802	234372	57498
803	234660	57205
804	234954	56914
805	235232	56619
806	235602	56346
807	235895	56054
808	236216	55769
809	236507	55477
810	236819	55189
811	237114	54898
812	237398	54604
813	237722	54319
814	238020	54029
815	238320	53738
816	238607	53445
817	238900	53153
818	239177	52858
819	239494	52571
820	239795	52281
821	240102	51992
822	240394	51700
823	240693	51410
824	240981	51117
825	241267	50823
826	241573	50534
827	241862	50242
828	242163	49951
829	242469	49662
830	242765	49371
831	243060	49079
832	243351	48787
833	243648	48495
834	243937	48203
835	244239	47913
836	244543	47623
837	244835	47330
838	245139	47041
839	245435	46749
840	245766	46464
841	246071	46174
842	246406	45890
843	246718	45601
844	247039	45314
845	247367	45029
846	247717	44747
847	248032	44458
848	248359	44172
849	248672	43883
850	248990	43595
851	249316	43308
852	249651	43023
853	249972	42735
854	250289	42446
855	250617	42160
856	250928	41870
857	251234	41579
858	251548	41290
859	251869	41002
860	252153	40707
861	252484	40420
862	252797	40131
863	253119	39842
864	253428	39552
865	253777	39268
866	254080	38976
867	254411	38689
868	254726	38399
869	255019	38106
870	255341	37817
871	255674	37530
872	256022	37244
873	256346	36956
874	256689	36669
875	257038	36384
876	257401	36100
877	257751	35815
878	258077	35526
879	258401	35236
880	258728	34947
881	259073	34660
882	259408	34372
883	259778	34088
884	260144	33804
885	260499	33518
886	260834	33229
887	261155	32938
888	261499	32650
889	261836	32361
890	262132	32067
891	262467	31778
892	262792	31487
893	263101	31195
894	263420	30904
895	263735	30612
896	264032	30318
897	264345	30025
898	264667	29734
899	264975	29441
900	265307	29151
901	265646	28861
902	265990	28572
903	266349	28284
904	266687	27994
905	267048	27707
906	267399	27418
907	267794	27133
908	268162	26845
909	268719	26576
910	269251	26304
911	269657	26019
912	270139	25741
913	270657	25466
914	271153	25189
915	271588	24905
916	271965	24616
917	272337	24326
918	272770	24041
919	273223	23758
920	273659	23473
921	274012	23181
922	274422	22893
923	274869	22608
924	275270	22319
925	275613	22025
926	275916	21728
927	276196	21429
928	276494	21131
929	276802	20834
930	277149	20540
931	277463	20244
932	277739	19944
933	278008	19645
934	278291	19346
935	278567	19047
936	278861	18749
937	279180	18453
938	279495	18156
939	279817	17860
940	280162	17565
941	280454	17267
942	280748	16969
943	281024	16670
944	281298	16371
945	281578	16073
946	281845	15773
947	282118	15474
948	282391	15175
949	282663	14877
950	282915	14577
951	283191	14278
952	283464	13979
953	283742	13681
954	284005	13382
955	284324	13086
956	284617	12788
957	284885	12489
958	285188	12192
959	285504	11896
960	285840	11600
961	286295	11308
962	286710	11015
963	287094	10721
964	287520	10428
965	287882	10132
966	288235	9836
967	288607	9540
968	289007	9245
969	289430	8951
970	289921	8658
971	290250	8361
972	290615	8064
973	290959	7766
974	291441	7472
975	291902	7177
976	292413	6883
977	292858	6587
978	293306	6291
979	293741	5994
980	294125	5696
981	294497	5398
982	294820	5098
983	295169	4799
984	295559	4500
985	295944	4202
986	296349	3903
987	296815	3605
988	297205	3305
989	297690	3006
990	298098	2707
991	298482	2407
992	298813	2106
993	299165	1805
994	299599	1505
995	299978	1204
996	300301	903
997	300619	602
998	300928	301
999	301356	0
